"","treat","Annualinc","Annualexp","redeff","age","distance","weights"
"3620",0,417600,346750,70850,24,0.201948071938858,1
"3621",0,625200,454810,170390,20,0.188460059954558,1
"3637",0,477600,384175,93425,40,0.0595555798813527,1
"3644",0,730800,527796,203004,34,0.0589469439510658,1
"3650",0,627600,508992,118608,21,0.179030835103037,1
"3656",0,778800,540530,238270,52,0.0134055065974415,1
"3676",0,543600,384014,159586,22,0.186694931546489,1
"3682",0,804000,651423,152577,48,0.018152960672282,1
"3687",0,457200,351223,105977,25,0.176960357632495,1
"3693",0,529200,395701,133499,43,0.0429320877828554,1
"3704",0,442800,349668,93132,32,0.112765145880923,1
"3711",0,1046400,730250,316150,38,0.024447416654103,1
"3740",0,909600,690889,218711,57,0.0072668295904242,1
"3751",1,1215600,902202,313398,35,0.0231237502827028,1
"3792",0,469200,369346,99854,22,0.211265037368132,1
"3814",0,476400,390371,86029,24,0.18493333864599,1
"3816",0,422400,325882,96518,23,0.211914385910011,1
"3819",1,849600,585176,264424,27,0.0796553127565101,1
"3821",1,460800,322918,137882,41,0.0558675988334563,1
"3824",1,1274400,982103,292297,36,0.0195027636476558,1
"3828",1,1424400,1099912,324488,32,0.0203232955427865,1
"3830",0,542400,443982,98418,56,0.0155797587653942,1
"3831",0,609600,434126,175474,33,0.0781666094581044,1
"3838",0,535200,437761,97439,20,0.218727145909163,1
"3851",0,582000,416591,165409,22,0.176354149968251,1
"3865",0,394800,264366,130434,21,0.246051704456937,1
"3872",1,1254000,1076574,177426,27,0.0422616303778923,1
"3878",0,487200,406148,81052,59,0.0136438259790677,1
"3880",0,385200,278842,106358,27,0.172220991947452,1
"3890",0,650400,514135,136265,46,0.0277588359135808,1
"3895",0,1046400,726075,320325,28,0.0524650277848899,1
"3906",0,370800,285218,85582,23,0.228177657621377,1
"3909",1,1378800,1009445,369355,33,0.0199769281098527,1
"3915",1,1264800,902309,362491,37,0.0178405339252111,1
"3919",0,871200,617510,253690,39,0.0312525177159671,1
"3932",0,427200,322342,104858,58,0.0162111995168003,1
"3955",1,691200,521360,169840,41,0.0375509269524732,1
"3964",0,627600,464768,162832,22,0.165189897445099,1
"3973",0,1273200,945860,327340,31,0.0284087583427236,1
"3977",0,1076400,842069,234331,21,0.0866150681465771,1
"3978",1,993600,746120,247480,48,0.0126064077616777,1
"3981",0,1002000,768370,233630,26,0.0677191693207658,1
"3998",0,420000,295876,124124,21,0.238412234201425,1
"4017",1,997200,738499,258701,46,0.0145890979492252,1
"4027",1,505200,346083,159117,43,0.0442568371969229,1
"4045",0,474000,305586,168414,22,0.205343616900551,1
"4049",0,620400,474911,145489,20,0.191289946899358,1
"4051",1,1004400,746110,258290,42,0.0196957587652427,1
"4055",0,554400,429134,125266,21,0.198237874654802,1
"4056",1,1144800,937926,206874,39,0.0199475205730573,1
"4059",0,1143600,863879,279721,35,0.0264977205811818,1
"4070",1,1383600,1049214,334386,29,0.0273952536774095,1
"4079",0,367200,296502,70698,53,0.0268659125007248,1
"4086",1,378000,243488,134512,30,0.141004033327867,1
"4089",0,1299600,912240,387360,30,0.028661444820155,1
"4096",0,622800,483913,138887,54,0.0156071950440935,1
"4097",1,1114800,834311,280489,36,0.0257525233246262,1
"4109",0,403200,324728,78472,21,0.247189406247585,1
"4122",0,381600,287326,94274,27,0.173816964903758,1
"4127",0,6e+05,422741,177259,21,0.182710068391789,1
"4143",0,604800,461891,142909,20,0.195716820260029,1
"4153",0,655200,488078,167122,21,0.169279327097989,1
"4155",0,998400,795531,202869,26,0.0689058312624845,1
"4160",1,1390800,999188,391612,49,0.00551886280394209,1
"4167",0,410400,330961,79439,24,0.203430032890644,1
"4176",0,1374000,977503,396497,27,0.0317126892768149,1
"4183",1,927600,688628,238972,34,0.0419026301115353,1
"4214",0,1228800,924251,304549,34,0.0245153592694328,1
"4222",0,1276800,1002448,274352,24,0.0492104420784176,1
"4241",0,394800,295359,99441,23,0.219901785241664,1
"4242",1,549600,418005,131595,44,0.0384688664528885,1
"4256",0,825600,578719,246881,39,0.0338533594215082,1
"4260",0,439200,351419,87781,23,0.207616083199252,1
"4281",1,1016400,819799,196601,28,0.0577835542606133,1
"4282",0,850800,627693,223107,34,0.0479400608057212,1
"4290",0,657600,518162,139438,30,0.0912192226324339,1
"4293",1,744000,544805,199195,50,0.0169055887021828,1
"4302",0,1197600,844482,353118,36,0.0217247996425377,1
"4306",0,369600,313512,56088,25,0.203658217056229,1
"4311",0,627600,490897,136703,20,0.18988749828672,1
"4319",1,1375200,1071308,303892,50,0.00542672745900643,1
"4327",0,772800,570335,202465,24,0.114123463690591,1
"4329",0,1228800,980784,248016,23,0.0580263749400059,1
"4337",1,1135200,803540,331660,49,0.00881743863270418,1
"4338",0,634800,480461,154339,20,0.186877278621446,1
"4342",1,507600,393867,113733,33,0.0941448578360636,1
"4346",0,1006800,724773,282027,28,0.0568411945537773,1
"4348",0,1072800,779882,292918,41,0.0186744475600874,1
"4361",0,442800,343718,99082,25,0.181074738435482,1
"4364",0,505200,379380,125820,23,0.186904526193769,1
"4370",0,664800,511432,153368,46,0.0269057851500076,1
"4382",1,423600,315237,108363,26,0.173846367458738,1
"4385",1,816000,581613,234387,48,0.0172178739358386,1
"4392",1,662400,498963,163437,25,0.127900003685492,1
"4414",0,391200,282786,108414,26,0.182148089629641,1
"4461",1,408000,305486,102514,50,0.0312018500284022,1
"4466",0,590400,438895,151505,21,0.186799208772693,1
"4474",0,384000,292193,91807,26,0.185037228270727,1
"4478",1,1328400,1044965,283435,25,0.0416991142496362,1
"4480",0,456000,353749,102251,25,0.177484844763544,1
"4498",0,855600,666622,188978,42,0.0261108210932959,1
"4501",1,1138800,759067,379733,32,0.0323826749241931,1
"4514",0,519600,360904,158696,21,0.205906448371381,1
"4516",1,1062000,764472,297528,36,0.0279917100779364,1
"4537",0,1338000,1084366,253634,39,0.0140392267238233,1
"4539",0,1389600,954719,434881,29,0.0260732258511062,1
"4543",0,973200,835624,137576,51,0.0107784297473955,1
"4560",1,768000,599141,168859,35,0.0520898988129751,1
"4565",0,478800,342233,136567,25,0.169779187762807,1
"4571",0,903600,657175,246425,24,0.0914462473360581,1
"4576",1,1281600,978104,303496,30,0.0305327071284312,1
"4577",0,1210800,944338,266462,33,0.0277230319656017,1
"4588",0,1344000,1046127,297873,33,0.0218095797562955,1
"4590",1,648000,490629,157371,39,0.0472363132863905,1
"4592",0,850800,577416,273384,24,0.0984643860561491,1
"4593",0,1324800,989165,335635,33,0.0222076534514103,1
"4598",0,375600,286782,88818,22,0.240691130384855,1
"4606",0,445200,356652,88548,22,0.219131985249147,1
"4611",0,1096800,787460,309340,27,0.0522439400488195,1
"4613",0,602400,489245,113155,21,0.185943407836676,1
"4614",1,1256400,941326,315074,28,0.0369851736281065,1
"4616",0,669600,503710,165890,46,0.0265563258385197,1
"4619",0,430800,315263,115537,22,0.22160692062995,1
"4623",0,1321200,983731,337469,47,0.00745416579971299,1
